№,Sec,Microsec
1,12,901680
2,12,912976
3,12,923975
4,12,935089
5,12,945690
6,12,955911
7,12,966927
8,12,977785
9,12,988149
10,12,999130
11,13,9470
12,13,20480
13,13,30925
14,13,41912
15,13,52749
16,13,63749
17,13,74844
18,13,85431
19,13,96189
20,13,107141
21,13,118135
22,13,129113
23,13,139655
24,13,150654
25,13,161774
26,13,173125
27,13,183505
28,13,194407
29,13,204638
30,13,215752
31,13,226383
32,13,237156
33,13,248153
34,13,258653
35,13,269683
36,13,281022
37,13,291906
38,13,302617
39,13,313619
40,13,324639
41,13,335564
42,13,346619
43,13,357578
44,13,367980
45,13,378563
46,13,389590
47,13,400187
48,13,411274
49,13,422053
50,13,432702
51,13,443261
52,13,453714
53,13,464771
54,13,475707
55,13,486233
56,13,497237
57,13,508236
58,13,519234
59,13,530274
60,13,541392
61,13,552569
62,13,563054
63,13,574046
64,13,584531
65,13,595531
66,13,606536
67,13,617252
68,13,628202
69,13,639158
70,13,650251
71,13,660370
72,13,671427
73,13,682141
74,13,692727
75,13,703133
76,13,713939
77,13,724872
78,13,735957
79,13,746947
80,13,757914
81,13,768755
82,13,779986
83,13,790365
84,13,801157
85,13,812142
86,13,823183
87,13,833400
88,13,843950
89,13,854972
90,13,865977
91,13,876997
92,13,887977
93,13,898821
94,13,908922
95,13,919644
96,13,930281
97,13,941357
98,13,951621
99,13,962907
100,13,973879
101,13,984379
102,13,995376
103,14,6318
104,14,17658
105,14,27973
106,14,38817
107,14,49989
108,14,60839
109,14,71845
110,14,82600
111,14,93570
112,14,103836
113,14,114998
114,14,125578
115,14,135935
116,14,146320
117,14,156951
118,14,167474
119,14,178497
120,14,189525
121,14,200746
122,14,211954
123,14,222987
124,14,233602
125,14,244801
126,14,255560
127,14,266028
128,14,277030
129,14,288342
130,14,298814
131,14,309909
132,14,320245
133,14,330717
134,14,342046
135,14,352991
136,14,363990
137,14,375000
138,14,385925
139,14,396999
140,14,407924
141,14,418674
142,14,429758
143,14,440530
144,14,451041
145,14,462099
146,14,472908
147,14,484023
148,14,494619
149,14,505571
150,14,516616
151,14,527764
152,14,538369
153,14,549433
154,14,560440
155,14,571558
156,14,582515
157,14,593223
158,14,604218
159,14,615141
160,14,626074
161,14,637068
162,14,647469
163,14,657998
164,14,669146
165,14,680489
166,14,691019
167,14,701499
168,14,711778
169,14,723313
170,14,734355
171,14,745312
172,14,756497
173,14,767074
174,14,778101
175,14,789333
176,14,800685
177,14,811729
178,14,822205
179,14,832732
180,14,843785
181,14,854624
182,14,865797
183,14,876337
184,14,887557
185,14,898619
186,14,909655
187,14,920401
188,14,931526
189,14,942646
190,14,953705
191,14,964682
192,14,975670
193,14,986665
194,14,997631
195,15,8603
196,15,19669
197,15,30680
198,15,41748
199,15,52922
200,15,63910
201,15,74828
202,15,85992
203,15,96990
204,15,108013
205,15,118989
206,15,129928
207,15,140384
208,15,151451
209,15,162478
210,15,173172
211,15,184250
212,15,194592
213,15,204885
214,15,215251
215,15,226138
216,15,236529
217,15,246891
218,15,257716
219,15,268172
220,15,279430
221,15,290547
222,15,301344
223,15,312815
224,15,323547
225,15,334029
226,15,344901
227,15,355967
228,15,367149
229,15,378189
230,15,389160
231,15,400220
232,15,410633
233,15,421783
234,15,432720
235,15,443819
236,15,454720
237,15,465818
238,15,476718
239,15,487849
240,15,498135
241,15,508982
242,15,520246
243,15,530610
244,15,541833
245,15,552128
246,15,563117
247,15,574217
248,15,584590
249,15,595602
250,15,606824
251,15,617167
252,15,627590
253,15,637886
254,15,648318
255,15,658823
256,15,669314
257,15,680295
258,15,691297
259,15,701628
260,15,712637
261,15,722982
262,15,734274
263,15,745404
264,15,756405
265,15,767408
266,15,778502
267,15,789258
268,15,799786
269,15,810359
270,15,821766
271,15,832982
272,15,844193
273,15,854599
274,15,865767
275,15,876276
276,15,886718
277,15,897558
278,15,908627
279,15,919086
280,15,930129
281,15,941018
282,15,952040
283,15,963040
284,15,974121
285,15,985221
286,15,996489
287,16,7754
288,16,18212
289,16,29420
290,16,40650
291,16,51999
292,16,63232
293,16,73598
294,16,84889
295,16,95516
296,16,106518
297,16,117520
298,16,128510
299,16,139130
300,16,149411
